      4.8730 ;       4.6273 ;       2.9671 ;       0.8270 ;       0.5422 ;       0.2319 ;       0.0028
      5.0244 ;       3.1679 ;       2.6608 ;       0.8307 ;       0.4800 ;       0.2343 ;       0.0027
      4.7821 ;       2.7045 ;       0.7638 ;       0.4819 ;       0.2737 ;       0.0027
      5.4882 ;       4.8089 ;       2.9000 ;       0.7603 ;       0.4666 ;       0.2607 ;       0.0026
      5.2895 ;       4.8138 ;       2.6857 ;       0.7964 ;       0.4719 ;       0.2548 ;       0.0026
      4.7405 ;       2.8440 ;       0.7806 ;       0.5025 ;       0.2566 ;       0.0026
      5.0903 ;       3.2193 ;       2.6660 ;       0.8683 ;       0.4454 ;       0.2449 ;       0.0027
      5.5703 ;       5.2338 ;       2.9526 ;       0.8142 ;       0.4721 ;       0.2637 ;       0.0026
      5.1791 ;       4.7727 ;       3.1673 ;       2.7118 ;       0.7826 ;       0.4696 ;       0.2596 ;       0.0029
      5.3412 ;       4.6986 ;       3.0645 ;       0.7895 ;       0.4655 ;       0.2449 ;       0.0026
      5.4323 ;       4.6438 ;       2.7165 ;       0.8465 ;       0.4559 ;       0.2412 ;       0.0025
      5.6386 ;       4.9724 ;       2.7602 ;       0.7729 ;       0.4547 ;       0.2332 ;       0.0026
